profile_id,level_id,level_name,yorunge,lt_level,b,theta_start,theta_end,attempts,correct,accuracy,hints_total,hints_per_attempt,time_total_sec,time_per_attempt,mastered,attempts_to_mastery,yas,sayi_hissi,diskalkuli_riski
P01,T01,Birebir Eşleme,Sayma,4,-1.6,-1.05,-0.5,6,5,0.833,1,0.17,54.1,9.0,1,6.0,4,dusuk,False
P01,T02,5'e Kadar Sayma,Sayma,5,-1.2,-1.05,-0.84,3,3,1.0,1,0.33,29.1,9.7,1,3.0,4,dusuk,False
P01,T03,10'a Kadar Sayma,Sayma,6,-0.8,-1.05,0.2,10,6,0.6,7,0.7,132.2,13.2,1,10.0,4,dusuk,False
P01,T04,Kardinal İlke,Sayma,7,-0.5,-1.05,0.61,12,6,0.5,10,0.83,172.5,14.4,0,,4,dusuk,False
P01,T06,Algısal Sanbil (1-4),Sanbil,5,-0.9,-1.05,0.47,12,7,0.583,8,0.67,152.6,12.7,0,,4,dusuk,False
P01,T07,5'lik Çerçeve,Sanbil,6,-0.4,-1.05,0.75,12,5,0.417,8,0.67,169.1,14.1,0,,4,dusuk,False
P01,T08,Kavramsal Sanbil (10),Sanbil,8,0.2,-1.05,0.89,12,4,0.333,11,0.92,182.5,15.2,0,,4,dusuk,False
P01,T09,Az-Çok-Eşit,Karşılaştırma,7,-0.6,-1.05,-0.22,8,6,0.75,5,0.62,106.0,13.2,1,8.0,4,dusuk,False
P01,T12,5'in Parça-Bütünü,Sayı Bileşimi,4,-0.7,-1.05,-0.84,3,3,1.0,2,0.67,43.4,14.5,1,3.0,4,dusuk,False
P01,T13,10'un Arkadaşları,Sayı Bileşimi,6,0.3,-1.05,1.03,12,3,0.25,12,1.0,195.5,16.3,0,,4,dusuk,False
P01,T15,Somut Toplama (≤5),Toplama-Çıkarma,4,-0.5,-1.05,0.75,12,5,0.417,7,0.58,149.5,12.5,0,,4,dusuk,False
P01,T16,Üzerine Sayarak Topl.,Toplama-Çıkarma,7,0.4,-1.05,0.89,12,4,0.333,14,1.17,192.5,16.0,0,,4,dusuk,False
P02,T01,Birebir Eşleme,Sayma,4,-1.6,-2.44,-1.97,12,6,0.5,15,1.25,229.7,19.1,0,,4,dusuk,True
P02,T02,5'e Kadar Sayma,Sayma,5,-1.2,-2.44,-2.01,12,7,0.583,17,1.42,274.8,22.9,0,,4,dusuk,True
P02,T03,10'a Kadar Sayma,Sayma,6,-0.8,-2.44,-1.77,12,1,0.083,16,1.33,282.2,23.5,0,,4,dusuk,True
P02,T04,Kardinal İlke,Sayma,7,-0.5,-2.44,-1.85,12,3,0.25,16,1.33,316.6,26.4,0,,4,dusuk,True
P02,T06,Algısal Sanbil (1-4),Sanbil,5,-0.9,-2.44,-1.89,12,4,0.333,19,1.58,294.0,24.5,0,,4,dusuk,True
P02,T07,5'lik Çerçeve,Sanbil,6,-0.4,-2.44,-1.85,12,3,0.25,18,1.5,331.1,27.6,0,,4,dusuk,True
P02,T08,Kavramsal Sanbil (10),Sanbil,8,0.2,-2.44,-1.81,12,2,0.167,16,1.33,358.5,29.9,0,,4,dusuk,True
P02,T09,Az-Çok-Eşit,Karşılaştırma,7,-0.6,-2.44,-1.85,12,3,0.25,17,1.42,302.0,25.2,0,,4,dusuk,True
P02,T12,5'in Parça-Bütünü,Sayı Bileşimi,4,-0.7,-2.44,-1.93,12,5,0.417,17,1.42,317.3,26.4,0,,4,dusuk,True
P02,T13,10'un Arkadaşları,Sayı Bileşimi,6,0.3,-2.44,-1.97,8,0,0.0,8,1.0,248.9,31.1,0,,4,dusuk,True
P02,T15,Somut Toplama (≤5),Toplama-Çıkarma,4,-0.5,-2.44,-1.85,12,3,0.25,18,1.5,312.2,26.0,0,,4,dusuk,True
P02,T16,Üzerine Sayarak Topl.,Toplama-Çıkarma,7,0.4,-2.44,-1.89,12,4,0.333,18,1.5,382.8,31.9,0,,4,dusuk,True
P03,T01,Birebir Eşleme,Sayma,4,-1.6,0.07,0.19,3,3,1.0,1,0.33,34.4,11.5,1,3.0,4,tipik,False
P03,T02,5'e Kadar Sayma,Sayma,5,-1.2,0.07,0.19,3,3,1.0,0,0.0,28.5,9.5,1,3.0,4,tipik,False
P03,T03,10'a Kadar Sayma,Sayma,6,-0.8,0.07,0.19,3,3,1.0,1,0.33,29.7,9.9,1,3.0,4,tipik,False
P03,T04,Kardinal İlke,Sayma,7,-0.5,0.07,0.36,5,4,0.8,2,0.4,50.9,10.2,1,5.0,4,tipik,False
P03,T06,Algısal Sanbil (1-4),Sanbil,5,-0.9,0.07,0.4,6,5,0.833,0,0.0,59.7,10.0,1,6.0,4,tipik,False
P03,T07,5'lik Çerçeve,Sanbil,6,-0.4,0.07,0.31,4,3,0.75,0,0.0,31.2,7.8,1,4.0,4,tipik,False
P03,T08,Kavramsal Sanbil (10),Sanbil,8,0.2,0.07,0.19,3,3,1.0,2,0.67,34.5,11.5,1,3.0,4,tipik,False
P03,T09,Az-Çok-Eşit,Karşılaştırma,7,-0.6,0.07,0.27,5,5,1.0,5,1.0,63.5,12.7,1,5.0,4,tipik,False
P03,T12,5'in Parça-Bütünü,Sayı Bileşimi,4,-0.7,0.07,0.6,7,4,0.571,4,0.57,68.1,9.7,1,7.0,4,tipik,False
P03,T13,10'un Arkadaşları,Sayı Bileşimi,6,0.3,0.07,0.72,8,4,0.5,4,0.5,91.6,11.4,1,8.0,4,tipik,False
P03,T15,Somut Toplama (≤5),Toplama-Çıkarma,4,-0.5,0.07,0.6,7,4,0.571,1,0.14,60.1,8.6,1,7.0,4,tipik,False
P03,T16,Üzerine Sayarak Topl.,Toplama-Çıkarma,7,0.4,0.07,0.68,9,6,0.667,5,0.56,103.0,11.4,1,9.0,4,tipik,False
P04,T01,Birebir Eşleme,Sayma,4,-1.6,-1.37,-1.2,6,5,0.833,7,1.17,87.9,14.7,1,6.0,4,tipik,True
P04,T02,5'e Kadar Sayma,Sayma,5,-1.2,-1.37,-0.9,12,7,0.583,9,0.75,168.9,14.1,0,,4,tipik,True
