id,yas,sayi_hissi,diskalkuli_riski,theta,calisma_bellegi,motivasyon,ogrenme_orani
P01,4,dusuk,False,-1.05,0.73,0.66,0.173
P02,4,dusuk,True,-2.44,0.3,0.95,0.049
P03,4,tipik,False,0.07,0.93,0.93,0.102
P04,4,tipik,True,-1.37,0.3,0.67,0.053
P05,4,ileri,False,0.57,0.56,0.84,0.143
P06,4,ileri,True,-1.27,0.36,0.75,0.048
P07,5,dusuk,False,-0.36,0.68,0.84,0.12
P08,5,dusuk,False,-0.87,0.73,0.67,0.105
P09,5,dusuk,True,-2.18,0.44,0.65,0.081
P10,5,dusuk,True,-2.09,0.3,0.96,0.07
P11,5,tipik,False,0.25,0.69,0.82,0.131
P12,5,tipik,False,-0.37,0.93,0.91,0.118
P13,5,tipik,True,-0.98,0.31,0.62,0.045
P14,5,tipik,True,-1.15,0.41,0.71,0.06
P15,5,ileri,False,0.76,0.7,0.66,0.128
P16,5,ileri,False,1.22,0.44,0.99,0.18
P17,5,ileri,True,-0.5,0.65,0.88,0.04
P18,5,ileri,True,-0.12,0.62,0.63,0.084
P19,6,dusuk,False,-0.65,0.74,0.73,0.186
P20,6,dusuk,False,-0.49,0.57,0.73,0.106
P21,6,dusuk,True,-1.36,0.46,0.65,0.093
P22,6,dusuk,True,-1.19,0.62,0.82,0.083
P23,6,tipik,False,0.39,0.64,0.61,0.152
P24,6,tipik,False,0.87,0.42,0.85,0.111
P25,6,tipik,True,-0.77,0.34,0.76,0.094
P26,6,tipik,True,-1.4,0.33,0.63,0.085
P27,6,ileri,False,1.06,0.84,0.85,0.193
P28,6,ileri,False,1.15,0.84,0.67,0.187
P29,6,ileri,True,0.13,0.69,0.73,0.088
P30,6,ileri,True,0.39,0.33,0.77,0.047
P31,7,dusuk,False,0.09,0.68,0.77,0.101
P32,7,dusuk,True,-1.12,0.3,0.74,0.053
P33,7,tipik,False,0.75,0.79,0.75,0.152
P34,7,tipik,True,-0.28,0.73,0.7,0.098
P35,7,ileri,False,1.12,0.42,0.84,0.128
P36,7,ileri,True,0.49,0.3,0.71,0.07
