level_id,level_name,b,n,accuracy,mastery_rate,avg_attempts,avg_hints,avg_time
T01,Birebir Eşleme,-1.6,36,0.83,0.89,5.72,0.37,11.8
T02,5'e Kadar Sayma,-1.2,36,0.81,0.81,6.33,0.51,12.47
T03,10'a Kadar Sayma,-0.8,36,0.72,0.78,7.17,0.63,13.43
T04,Kardinal İlke,-0.5,36,0.72,0.67,7.42,0.65,14.06
T05,Geri Sayma (10→1),0.0,30,0.68,0.6,8.6,0.76,15.02
T06,Algısal Sanbil (1-4),-0.9,36,0.75,0.69,7.53,0.58,13.23
T07,5'lik Çerçeve,-0.4,36,0.71,0.69,7.47,0.74,14.49
T08,Kavramsal Sanbil (10),0.2,36,0.54,0.42,9.33,0.87,16.38
T09,Az-Çok-Eşit,-0.6,36,0.72,0.72,7.69,0.69,13.96
T10,Sıralama (1-10),0.5,30,0.54,0.3,10.4,0.97,17.26
T11,Sayı Doğrusu Konum,1.2,18,0.48,0.39,10.61,1.11,19.03
T12,5'in Parça-Bütünü,-0.7,36,0.71,0.72,7.19,0.62,13.69
T13,10'un Arkadaşları,0.3,36,0.49,0.47,9.42,0.81,16.73
T14,Numbers-in-Numbers,0.9,30,0.44,0.33,10.03,1.07,18.72
T15,Somut Toplama (≤5),-0.5,36,0.7,0.67,8.11,0.72,14.34
T16,Üzerine Sayarak Topl.,0.4,36,0.5,0.33,9.83,1.0,17.51
T17,10'a Tamamla,1.1,30,0.41,0.2,10.67,1.09,19.61
T18,Onluk Birimleme,1.5,18,0.39,0.28,9.72,1.15,20.58
